label,code,main_domain
"Informatique, information, généralités",ddc:000,"Lettres, sciences Humaines et Sociales"
Informatique,ddc:004,"Sciences, Technologies, Santé"
Bibliothéconomie et sciences de l'information,ddc:020,"Lettres, sciences Humaines et Sociales"
Organisations générales et muséologie,ddc:060,"Lettres, sciences Humaines et Sociales"
"Médias d'information, journalisme, édition",ddc:070,"Lettres, sciences Humaines et Sociales"
Manuscrits et livres rares,ddc:090,"Lettres, sciences Humaines et Sociales"
"Philosophie, psychologie",ddc:100,"Lettres, sciences Humaines et Sociales"
Métaphysique,ddc:110,"Lettres, sciences Humaines et Sociales"
"Epistémologie, causalité, genre humain",ddc:120,"Lettres, sciences Humaines et Sociales"
"Phénomènes paranormaux, seudosciences",ddc:130,"Lettres, sciences Humaines et Sociales"
Les divers systèmes et écoles philosophiques,ddc:140,"Lettres, sciences Humaines et Sociales"
Psychologie,ddc:150,"Lettres, sciences Humaines et Sociales"
Logique,ddc:160,"Lettres, sciences Humaines et Sociales"
Morale (éthique),ddc:170,"Lettres, sciences Humaines et Sociales"
"Philosophie de l'Antiquité, du Moyen Âge, de l'Orient",ddc:180,"Lettres, sciences Humaines et Sociales"
Philosophie occidentale moderne et philosophies non orientales,ddc:190,"Lettres, sciences Humaines et Sociales"
Religion,ddc:200,"Lettres, sciences Humaines et Sociales"
Philosophie et théorie de la religion,ddc:210,"Lettres, sciences Humaines et Sociales"
Bible,ddc:220,"Lettres, sciences Humaines et Sociales"
Théologie chrétienne,ddc:230,"Lettres, sciences Humaines et Sociales"
Théologie morale et pratiques chrétiennes,ddc:240,"Lettres, sciences Humaines et Sociales"
"Eglises locales, ordres religieux chrétiens",ddc:250,"Lettres, sciences Humaines et Sociales"
"Théologie chrétienne et société, ecclésiologie",ddc:260,"Lettres, sciences Humaines et Sociales"
Histoire et géographie du christianisme et de l'Eglise chrétienne,ddc:270,"Lettres, sciences Humaines et Sociales"
Confessions et sectes de l'Eglise chrétienne,ddc:280,"Lettres, sciences Humaines et Sociales"
Autres religions,ddc:290,"Lettres, sciences Humaines et Sociales"
"Sciences sociales, sociologie, anthropologie",ddc:300,"Lettres, sciences Humaines et Sociales"
Statistiques générales,ddc:310,"Lettres, sciences Humaines et Sociales"
Science politique,ddc:320,"Lettres, sciences Humaines et Sociales"
Economie,ddc:330,"Lettres, sciences Humaines et Sociales"
Droit,ddc:340,"Lettres, sciences Humaines et Sociales"
Administration publique. Arts et science militaires,ddc:350,"Lettres, sciences Humaines et Sociales"
Problèmes et services sociaux,ddc:360,"Lettres, sciences Humaines et Sociales"
Education et enseignement,ddc:370,"Lettres, sciences Humaines et Sociales"
"Commerce, communications, transports",ddc:380,"Lettres, sciences Humaines et Sociales"
Ethnologie,ddc:390,"Lettres, sciences Humaines et Sociales"
Langues et linguistique,ddc:400,"Lettres, sciences Humaines et Sociales"
Linguistique générale,ddc:410,"Lettres, sciences Humaines et Sociales"
Langue anglaise. Anglo-saxon,ddc:420,"Lettres, sciences Humaines et Sociales"
Langues germaniques. Allemand,ddc:430,"Lettres, sciences Humaines et Sociales"
Langues romanes. Français,ddc:440,"Lettres, sciences Humaines et Sociales"
"Langues italienne, roumaine, rhéto-romane",ddc:450,"Lettres, sciences Humaines et Sociales"
Langues espagnole et portugaise,ddc:460,"Lettres, sciences Humaines et Sociales"
Langues italiques. Latin,ddc:470,"Lettres, sciences Humaines et Sociales"
Langues helléniques. Grec classique,ddc:480,"Lettres, sciences Humaines et Sociales"
Autres langues,ddc:490,"Lettres, sciences Humaines et Sociales"
Sciences de la nature et mathématiques,ddc:500,"Sciences, Technologies, Santé"
Mathématiques,ddc:510,"Sciences, Technologies, Santé"
"Astronomie, cartographie, géodésie",ddc:520,"Sciences, Technologies, Santé"
Physique,ddc:530,"Sciences, Technologies, Santé"
"Chimie, minéralogie, cristallographie",ddc:540,"Sciences, Technologies, Santé"
Sciences de la terre,ddc:550,"Sciences, Technologies, Santé"
Paléontologie. Paléozoologie,ddc:560,"Sciences, Technologies, Santé"
"Sciences de la vie, biologie, biochimie",ddc:570,"Sciences, Technologies, Santé"
Plantes. Botanique,ddc:580,"Sciences, Technologies, Santé"
Animaux. Zoologie,ddc:590,"Sciences, Technologies, Santé"
Technologie (Sciences appliquées),ddc:600,"Sciences, Technologies, Santé"
Médecine et santé,ddc:610,"Sciences, Technologies, Santé"
Sciences de l'ingénieur,ddc:620,"Sciences, Technologies, Santé"
"Agronomie, agriculture et médecine vétérinaire",ddc:630,"Sciences, Technologies, Santé"
Economie domestique. Vie familiale,ddc:640,"Sciences, Technologies, Santé"
Gestion et organisation de l'entreprise,ddc:650,"Sciences, Technologies, Santé"
"Génie chimique, technologies alimentaires",ddc:660,"Sciences, Technologies, Santé"
Fabrication industrielle,ddc:670,"Sciences, Technologies, Santé"
Fabrication de produits à usages spécifiques,ddc:680,"Sciences, Technologies, Santé"
Bâtiments,ddc:690,"Sciences, Technologies, Santé"
Arts. Beaux-arts et arts décoratifs,ddc:700,"Lettres, sciences Humaines et Sociales"
Urbanisme,ddc:710,"Lettres, sciences Humaines et Sociales"
Architecture,ddc:720,"Lettres, sciences Humaines et Sociales"
Arts plastiques. Sculpture,ddc:730,"Lettres, sciences Humaines et Sociales"
Dessin. Arts décoratifs,ddc:740,"Lettres, sciences Humaines et Sociales"
Peinture,ddc:750,"Lettres, sciences Humaines et Sociales"
Arts graphiques,ddc:760,"Lettres, sciences Humaines et Sociales"
"Photographie et les photographies, art numérique",ddc:770,"Lettres, sciences Humaines et Sociales"
Musique,ddc:780,"Lettres, sciences Humaines et Sociales"
"Arts du spectacle, loisirs",ddc:790,"Lettres, sciences Humaines et Sociales"
Sport,ddc:796,"Lettres, sciences Humaines et Sociales"
"Histoire et critique littéraires, rhétorique",ddc:800,"Lettres, sciences Humaines et Sociales"
Littérature américaine en anglais,ddc:810,"Lettres, sciences Humaines et Sociales"
Littératures anglaise et anglo-saxonne,ddc:820,"Lettres, sciences Humaines et Sociales"
Littérature allemande,ddc:830,"Lettres, sciences Humaines et Sociales"
Littérature de langues romanes. Littérature française,ddc:840,"Lettres, sciences Humaines et Sociales"
Littérature italienne,ddc:850,"Lettres, sciences Humaines et Sociales"
Littératures espagnole et portugaise,ddc:860,"Lettres, sciences Humaines et Sociales"
Littérature latine,ddc:870,"Lettres, sciences Humaines et Sociales"
Littérature grecque,ddc:880,"Lettres, sciences Humaines et Sociales"
Littératures des autres langues,ddc:890,"Lettres, sciences Humaines et Sociales"
Géographie et histoire,ddc:900,"Lettres, sciences Humaines et Sociales"
Géographie et voyages,ddc:910,"Lettres, sciences Humaines et Sociales"
"Biographies générales, généalogie, emblèmes",ddc:920,"Lettres, sciences Humaines et Sociales"
Histoire ancienne et préhistoire,ddc:930,"Lettres, sciences Humaines et Sociales"
Histoire moderne et contemporaine de l'Europe,ddc:940,"Lettres, sciences Humaines et Sociales"
Histoire générale de la France,ddc:944,"Lettres, sciences Humaines et Sociales"
"Histoire générale de l'Asie, Orient, Extrême-Orient",ddc:950,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Afrique,ddc:960,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Amérique du Nord,ddc:970,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Amérique du Sud,ddc:980,"Lettres, sciences Humaines et Sociales"
"Histoire générale des autres parties du monde, des mondes extraterrestres. Iles du Pacifique",ddc:990,"Lettres, sciences Humaines et Sociales"
